City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pacific grove,36.6177,-121.9166,23.55,78,0,7.72,US,1691533221
84,port elizabeth,-33.918,25.5701,14.5,100,75,3.09,ZA,1691533254
85,qianjiang,30.4151,112.8859,24.68,79,39,2.61,CN,1691533254
86,farkhar,36.5729,69.8578,22.25,38,1,1.66,AF,1691532916
87,vadso,70.0744,29.7487,21.49,94,0,2.57,NO,1691532911
88,tsiombe,-25.3,45.4833,19.99,86,1,4.76,MG,1691533255
89,hotan,37.0997,79.9269,24.94,40,5,2.3,CN,1691533255
90,port alfred,-33.5906,26.891,14.54,97,81,0.45,ZA,1691532940
91,ilulissat,69.2167,-51.1,10.01,53,20,0.51,GL,1691532707
92,sarmiento,-45.5882,-69.07,10.55,54,100,8.71,AR,1691533255
93,qamdo,31.1667,97.2333,5.71,83,70,1.85,CN,1691532955
94,kingston,17.997,-76.7936,30.13,82,69,3.13,JM,1691532772
95,sangkhla buri,15.1555,98.4536,22.54,99,100,0.09,TH,1691533255
96,iringa,-7.7667,35.7,13.68,73,52,4.2,TZ,1691533255
97,stanley,54.868,-1.6985,12.62,73,0,5.14,GB,1691532720
98,ushuaia,-54.8,-68.3,-0.19,90,86,2.85,AR,1691532698
99,yarmouth,41.7057,-70.2286,26.03,89,75,6.71,US,1691533255
100,myeik,12.4333,98.6,26.09,89,100,3.71,MM,1691533255
101,keflavik,64.0049,-22.5624,12.95,87,20,4.12,IS,1691532925
102,new norfolk,-42.7826,147.0587,3.29,95,41,1.39,AU,1691532658
103,hadibu,12.65,54.0333,25.66,80,97,8.28,YE,1691532931
104,alpena,45.0617,-83.4327,24.18,80,40,0.89,US,1691533256
105,gjovik,60.7947,10.6929,12.86,98,100,3.35,NO,1691533256
106,zaozersk,69.4005,32.4476,18.24,81,2,3.12,RU,1691532920
107,jamestown,42.097,-79.2353,23.9,68,0,8.75,US,1691532741
108,carnarvon,-24.8667,113.6333,17.1,84,5,6.54,AU,1691532917
109,puerto natales,-51.7236,-72.4875,1.64,99,100,0.92,CL,1691532905
110,iquique,-20.2208,-70.1431,19.02,79,22,3.55,CL,1691532931
111,salinas,36.6777,-121.6555,27.52,68,0,7.72,US,1691533255
112,port saint john's,-31.6229,29.5448,18.26,72,92,4.54,ZA,1691532748
113,kingscliff,-28.2667,153.5667,17.75,72,18,4.63,AU,1691533208
114,hermanus,-34.4187,19.2345,11.17,82,0,5.32,ZA,1691533256
115,comayagua,14.45,-87.6333,28.08,68,91,1.6,HN,1691533256
116,ostersund,63.1792,14.6357,12.25,87,75,9.26,SE,1691532922
117,howard springs,-12.497,131.047,23.79,55,77,3.2,AU,1691532952
118,severo-yeniseyskiy,60.3725,93.0408,9.64,97,66,1.89,RU,1691532961
119,haiku-pauwela,20.9219,-156.3051,29.73,54,20,10.8,US,1691533257
120,mariental,-24.6333,17.9667,16.29,25,23,5.0,NA,1691533257
121,caluula,11.9661,50.7569,32.39,48,77,4.67,SO,1691533257
122,taveta,-3.3963,37.6736,19.69,84,67,2.63,KE,1691533257
123,butterworth,5.3991,100.3638,26.14,91,20,1.54,MY,1691533257
124,impfondo,1.6381,18.0667,21.77,96,72,0.85,CG,1691533162
125,mejit,10.2753,170.8646,28.27,73,85,6.37,MH,1691532840
126,mossel bay,-34.1831,22.146,12.96,81,52,1.36,ZA,1691533257
127,utrik,11.2278,169.8474,28.43,73,59,6.17,MH,1691532709
128,bowen,-20.0167,148.2333,17.23,83,20,4.39,AU,1691533257
129,east london,-33.0153,27.9116,17.42,76,100,5.15,ZA,1691532721
130,naracoorte,-36.9579,140.7383,6.58,68,4,5.94,AU,1691533258
131,cloppenburg,52.85,8.0333,13.81,79,31,4.5,DE,1691533258
132,crane,31.3974,-102.3501,39.39,18,96,2.76,US,1691532936
133,lucas,41.6501,-83.6666,27.32,55,75,5.14,US,1691533258
134,nadi,-17.8,177.4167,27.0,61,20,2.57,FJ,1691533258
135,funafuti,-8.5243,179.1942,32.0,84,75,2.06,TV,1691533258
136,cudillero,43.5622,-6.1459,20.5,91,0,3.09,ES,1691533258
137,vyritsa,59.4078,30.3481,16.73,70,85,1.87,RU,1691533258
138,west island,-12.1568,96.8225,24.99,83,40,3.6,CC,1691532909
139,zhaotong,27.3167,103.7167,16.35,94,3,0.37,CN,1691533258
140,isafjordur,66.0755,-23.124,11.02,71,0,0.0,IS,1691532717
141,kerikeri,-35.2268,173.9474,10.51,92,21,2.31,NZ,1691532908
142,st. john's,47.5649,-52.7093,15.15,85,98,4.02,CA,1691532712
143,altai,46.3722,96.2583,14.06,75,100,2.69,MN,1691533258
144,humaita,-7.5061,-63.0208,32.26,42,48,1.48,BR,1691533258
145,kristiansund,63.1115,7.732,13.03,94,100,1.54,NO,1691533259
146,margaret river,-33.95,115.0667,10.91,64,5,3.24,AU,1691532908
147,kawm umbu,24.4767,32.9463,36.14,13,0,4.14,EG,1691533259
148,orcopampa,-15.2661,-72.3417,12.37,34,39,4.42,PE,1691533259
149,kelso,46.1468,-122.9084,30.33,50,0,2.57,US,1691533259
150,kuanda,56.3161,116.0806,17.93,69,74,1.93,RU,1691533259
151,bredasdorp,-34.5322,20.0403,9.18,88,0,1.47,ZA,1691532709
152,priob'ye,62.5206,65.5964,15.24,89,84,3.08,RU,1691533259
153,reriutaba,-4.1417,-40.5822,29.03,37,27,1.78,BR,1691533259
154,naberezhnyye chelny,55.7561,52.4289,15.49,91,0,2.51,RU,1691533259
155,richards bay,-28.783,32.0377,17.17,86,0,1.96,ZA,1691532956
156,la breita,-4.2608,-80.8875,27.42,53,100,3.75,PE,1691533260
157,labrador city,52.9463,-66.9114,16.95,55,100,5.14,CA,1691533260
158,akcadag,38.3453,37.9672,22.55,38,0,0.51,TR,1691533260
159,murun-kuren,49.6342,100.1625,15.45,88,100,0.92,MN,1691533260
160,katsuura,35.1333,140.3,27.04,91,100,5.78,JP,1691533260
161,khapa,21.4333,78.9667,24.97,85,100,2.29,IN,1691533260
162,talnakh,69.4865,88.3972,13.45,62,94,1.03,RU,1691532922
163,lihue,21.9789,-159.3672,33.58,66,100,8.23,US,1691532906
164,siwa oasis,29.2041,25.5195,29.94,43,0,6.49,EG,1691533260
165,vernon,50.2581,-119.2691,29.61,38,100,0.51,CA,1691532903
166,suifenhe,44.4,131.1667,17.9,98,96,0.73,CN,1691533260
167,buta,2.7858,24.73,20.79,98,74,0.58,CD,1691532917
168,ocean shores,46.9737,-124.1563,25.25,77,0,6.17,US,1691533068
169,sisimiut,66.9395,-53.6735,8.25,62,9,2.62,GL,1691533261
170,rio cuarto,-33.1307,-64.3499,11.93,50,0,7.2,AR,1691533261
171,vilyuysk,63.7553,121.6247,15.24,51,12,3.08,RU,1691532918
172,kodinsk,58.6881,99.1844,12.89,87,1,0.37,RU,1691533261
173,kyabe,9.4515,18.9449,22.56,94,100,1.18,TD,1691533040
174,balikesir,39.75,28.0,21.98,73,40,7.72,TR,1691533261
175,nadym,65.5333,72.5167,11.48,80,100,8.21,RU,1691533261
176,remire-montjoly,4.9167,-52.2667,28.02,83,0,4.12,GF,1691532926
177,pangody,65.85,74.4859,8.49,84,100,8.22,RU,1691533261
178,dunedin,-45.8742,170.5036,7.67,68,99,4.47,NZ,1691533260
179,lithgow,-33.4833,150.15,8.69,82,10,0.78,AU,1691533261
180,puerto santa,-8.9906,-78.6456,20.92,78,60,5.82,PE,1691532947
181,vikindu,-7.0067,39.2985,21.89,87,1,3.61,TZ,1691533262
182,hilo,19.7297,-155.09,29.6,64,20,4.12,US,1691532926
183,wailua homesteads,22.0669,-159.378,33.24,75,100,8.23,US,1691532716
184,urucui,-7.2294,-44.5561,30.32,32,0,2.5,BR,1691533262
